"HCPCS","DESCRIPTION"
"33254","Ablation of atria, limited"
"33255","Ablation of atria, extensive, without cardiopulmonary bypass"
"33256","Ablation of atria, extensive, with cardiopulmonary bypass"
"33257","Ablation of atria, limited, additional procedure"
"33258","Ablation of atria, extensive, additional procedure"
"33259","Ablation of atria with cardiopulmonary bypass, additional procedure"
"3325F","Preoperative assessment for cataract surgery"
"33261","Ablation of heart dysrhythmia focus"
"33262","Removal and replacement of implantable defibrillator pulse generator, single lead"
"33263","Removal and replacement of implantable defibrillator pulse generator, dual leads"
"33264","Removal and replacement of implantable defibrillator pulse generator, multiple leads"
"33265","Endoscopic ablation of atria, limited"
"33266","Endoscopic ablation of atria, extensive"
"33267","Open exclusion of left atrial appendage, any method"
"33268","Open exclusion of left atrial appendage at time of other procedure, any method"
"33269","Thoracoscopic exclusion of left atrial appendage, any method"
"33270","Insertion or replacement of subcutaneous implantable defibrillator"
"33271","Insertion of subcutaneous implantable defibrillator electrode"
"33272","Removal of subcutaneous implantable defibrillator"
"33273","Repositioning of previously implanted subcutaneous defibrillator"
"33274","Transcatheter insertion or replacement of permanent leadless pacemaker"
"33275","Transcatheter removal of permanent leadless pacemaker with imaging"
"33276","Insertion of phrenic nerve stimulator system"
"33277","Transvenous insertion of phrenic nerve stimulator lead"
"33278","Removal of phrenic nerve stimulator system"
"33279","Transvenous removal of phrenic nerve stimulator lead"
"33280","Removal of phrenic nerve stimulator pulse generator only"
"33281","Repositioning of transvenous phrenic nerve stimulator lead"
"33285","Insertion of subcutaneous cardiac rhythm monitor"
"33286","Removal of subcutaneous cardiac rhythm monitor"
"33287","Removal and replacement of phrenic nerve stimulator pulse generator"
"33288","Removal and replacement of phrenic nerve stimulator transvenous lead"
"33289","Transcatheter implantation of wireless pulmonary artery pressure sensor"
"3328F","Performance of assessment documented within 2 weeks before surgery"
"33300","Repair of heart wound"
"33305","Repair of heart wound"
"3330F","Imaging study ordered for back pain"
"33310","Exploratory heart surgery"
"33315","Exploratory heart surgery"
"3331F","Back imaging test not ordered"
"33320","Repair of major blood vessel or vessels"
"33321","Repair of major vessel"
"33322","Repair of major blood vessel or vessels"
"33330","Insertion of major vessel graft"
"33335","Insertion of major vessel graft"
"33340","Percutaneous transcatheter closure of left atrial appendage"
"33361","Percutaneous transcatheter replacement of aortic valve"
"33362","Open transcatheter replacement of aortic valve"
"33363","Open transcatheter replacement of aortic valve"
"33364","Open transcatheter replacement of aortic valve"
"33365","Open transcatheter replacement of aortic valve"
"33366","Transcatheter replacement of aortic valve"
"33367","Transcatheter replacement of aortic valve with cardiopulmonary bypass"
"33368","Transcatheter replacement of aortic valve with cardiopulmonary bypass"
"33369","Transcatheter replacement of aortic valve with cardiopulmonary bypass"
"33370","Percutaneous transcatheter placement and removal of cerebral embolic protection device"
"33390","Valvuloplasty of aortic valve"
"33391","Valvuloplasty of aortic valve"
"33404","Construction of apical-aortic conduit"
"33405","Open replacement of aortic valve with cardiopulmonary bypass"
"33406","Open replacement of aortic valve with cardiopulmonary bypass"
"3340F","Mammography assessment incomplete: further imaging needed, documented"
"33410","Open replacement of aortic valve with cardiopulmonary bypass"
"33411","Replacement of aortic valve"
"33412","Replacement of aortic valve"
"33413","Replacement of aortic valve"
"33414","Repair of aortic valve"
"33415","Revision of subvalvular tissue"
"33416","Revision of ventricle muscle"
"33417","Repair of aortic valve"
"33418","Percutaneous transcatheter repair of mitral valve"
"33419","Percutaneous transcatheter repair of mitral valve"
"3341F","Mammography assessment negative documented"
"33420","Revision of mitral valve"
"33422","Revision of mitral valve"
"33425","Repair of mitral valve"
"33426","Repair of mitral valve"
"33427","Repair of mitral valve"
"3342F","Mammography assessment benign documented"
"33430","Replacement of mitral valve"
"3343F","Mammography assessment probably benign documented"
"33440","Replacement of aortic valve by translocation of autologous pulmonary valve"
"3344F","Mammography assessment suspicious documented"
"3345F","Mammography assessment highly suggestive of malignancy documented"
"33460","Revision of tricuspid valve"
"33463","Tricuspid valvuloplasty"
"33464","Tricuspid valvuloplasty"
"33465","Replacement of tricuspid valve"
"33468","Revision of tricuspid valve"
"33474","Revision of pulmonary valve"
"33475","Replacement of pulmonary valve"
"33476","Revision of heart chamber"
"33477","Percutaneous transcatheter pulmonary valve implantation"
"33478","Revision of heart chamber"
"33496","Repair of prosthetic valve clot"
"33500","Repair of heart vessel fistula"
"33501","Repair of heart vessel fistula"
"33502","Coronary artery correction"
"33503","Coronary artery graft"
"33504","Coronary artery graft"
"33505","Repair of coronary artery with tunnel"
"33506","Repair of coronary artery translocation"
"33507","Repair of anomalous coronary artery, intramural"
"33508","Endoscopic vein harvesting"
"33509","Endoscopic harvesting of upper extremity artery, single segment, for coronary artery bypass graft"
"3350F","Mammography biopsy-proven malignancy documented"
"33510","Coronary artery bypass graft, single vein"
"33511","Coronary artery bypass graft, two veins"
"33512","Coronary artery bypass graft, three veins"
"33513","Coronary artery bypass graft, four veins"
"33514","Coronary artery bypass graft, five veins"
"33516","Coronary artery bypass graft, six or more veins"
"33517","Coronary artery bypass graft, single artery-vein"
"33518","Coronary artery bypass graft, two artery-vein"
"33519","Coronary artery bypass graft, three artery-vein"
"3351F","Negative screen for depressive symptoms by standardized screening tool"
"33521","Coronary artery bypass graft, four artery-vein"
"33522","Coronary artery bypass graft, five artery-vein"
"33523","Coronary artery bypass graft, six or more artery-vein"
"3352F","No significant depressive symptoms documented by standardized screening tool"
"33530","Coronary artery bypass graft reoperation"
"33533","Coronary artery bypass graft, single arterial"
"33534","Coronary artery bypass graft, two arterial"
"33535","Coronary artery bypass graft, three arterial"
"33536","Coronary artery bypass graft, four or more arterial"
"3353F","Mild to moderate depressive symptoms documented by standardized screening tool"
"33542","Removal of heart lesion"
"33545","Repair of heart damage"
"33548","Surgical ventricular restoration and remodeling"
"3354F","Clinically significant depressive symptoms documented by standardized screening tool"
"33572","Open coronary endarterectomy"
"33600","Closure of valve"
"33602","Closure of valve"
"33606","Anastomosis of pulmonary artery to aorta"
"33608","Repair of complex cardiac anomaly with conduit"
"33610","Repair of complex cardiac anomaly by enlargement"
"33611","Repair of double outlet right ventricle"
"33612","Repair of double outlet right ventricle"
"33615","Repair of complex cardiac anomaly by modified Fontan procedure"
"33617","Repair of single ventricle"
"33619","Repair of single ventricle"
"33620","Application of right and left pulmonary artery bands"
"33621","Transthoracic insertion of catheter for stent placement"
"33622","Reoperation for complete reconstruction of complex cardiac anomaly"
"33641","Repair of heart septum defect"
"33645","Revision of heart veins"
"33647","Repair of heart septum defects"
"33660","Repair of heart defects"
"33665","Repair of heart defects"
"33670","Repair of heart chambers"
"33675","Closure of multiple ventricular septal defects"
"33676","Closure of multiple ventricular septal defects with resection"
"33677","Closure of multiple ventricular septal defects with removal of pulmonary artery band"
"33681","Closure of single ventricular septal defect with or without patch"
"33684","Closure of single ventricular septal defect with or without patch, with valvulotomy"
"33688","Closure of single ventricular septal defect with or without patch, with removal of pulmonary artery band"
"33690","Banding of pulmonary artery"
"33692","Complete repair of tetralogy of Fallot without pulmonary atresia"
"33694","Complete repair of tetralogy of Fallot without pulmonary atresia, with patch"
"33697","Complete repair of tetralogy of Fallot with pulmonary atresia"
"33702","Repair of heart defects"
"3370F","AJCC breast cancer Stage 0 documented"
"33710","Repair of heart defects"
"33720","Repair of heart defect"
"33724","Repair of venous anomaly"
"33726","Repair of pulmonary venous stenosis"
"3372F","AJCC breast cancer Stage I documented"
"33730","Repair of anomalous pulmonary venous connection"
"33732","Repair of anomalous pulmonary venous connection"
"33735","Revision of heart chamber"
"33736","Revision of heart chamber"
"33741","Transcatheter atrial septostomy for congenital cardiac anomaly"
"33745","Transcatheter intracardiac shunt creation for congenital cardiac anomaly, initial shunt"
"33746","Transcatheter intracardiac shunt creation for congenital cardiac anomaly, each additional shunt"
"3374F","AJCC breast cancer Stage I documented"
"33750","Shunt, subclavian to pulmonary artery"
"33755","Shunt, ascending aorta to pulmonary artery"
"33762","Shunt, descending aorta to pulmonary artery"
"33764","Shunt, central, with prosthetic graft"
"33766","Shunt, superior vena cava to pulmonary artery, unilateral"
"33767","Shunt, superior vena cava to pulmonary artery, bilateral"
"33768","Anastomosis, cavopulmonary, second superior vena cava"
"3376F","AJCC breast cancer Stage II documented"
"33770","Repair of transposition of the great arteries without surgical enlargement of ventricular septal defect"
"33771","Repair of transposition of the great arteries with surgical enlargement of ventricular septal defect"
"33774","Repair of transposition of the great arteries by atrial baffle procedure"
"33775","Repair of transposition of the great arteries by atrial baffle procedure with removal of pulmonary artery band"
"33776","Repair of transposition of the great arteries by atrial baffle procedure with closure of ventricular septal defect"
"33777","Repair of transposition of the great arteries by atrial baffle procedure with repair of subpulmonic obstruction"
"33778","Repair of transposition of the great arteries with aortic pulmonary artery reconstruction"
"33779","Repair of transposition of the great arteries with aortic pulmonary artery reconstruction and removal of pulmonary artery band"
"33780","Repair of transposition of the great arteries with aortic pulmonary artery reconstruction and closure of ventricular septal defect"
"33781","Repair of transposition of the great arteries with aortic pulmonary artery reconstruction and repair of subpulmonic obstruction"
"33782","Nikaidoh procedure"
"33783","Nikaidoh procedure with coronary ostia implantation"
"33786","Repair of arterial trunk"
"33788","Revision of pulmonary artery"
"3378F","American Joint Committee on Cancer breast cancer stage 3 documented"
"33800","Aortic suspension"
"33802","Division of aberrant vessel"
"33803","Division of aberrant vessel with reanastomosis"
"3380F","American Joint Committee on Cancer breast cancer stage 4 documented"
"33814","Obliteration of aortopulmonary septal defect with bypass"
"33820","Repair of patent ductus arteriosus by ligation"
"33822","Repair of patent ductus arteriosus by division, patient under 18 years of age"
"33824","Repair of patent ductus arteriosus by division, patient 18 years of age and older"
"3382F","American Joint Committee on Cancer colon cancer stage 0 documented"
"33840","Excision of coarctation of aorta with direct anastomosis"
"33845","Excision of coarctation of aorta with graft"
"3384F","American Joint Committee on Cancer colon cancer stage 1 documented"
"33851","Excision of coarctation of aorta, repair of left subclavian artery or prosthesis"
"33852","Repair of hypoplastic aortic arch without bypass"
"33853","Repair of hypoplastic aortic arch with bypass"
"33858","Ascending aortic graft for aortic dissection"
"33859","Ascending aortic graft for aortic disease other than dissection"
"33863","Ascending aortic graft"
"33864","Ascending aortic graft"
"33866","Aortic hemiarch graft"
"3386F","American Joint Committee on Cancer colon cancer stage 2 documented"
"33871","Transverse aortic arch graft with hypothermia"
"33875","Thoracic aortic graft"
"33877","Thoracoabdominal graft"
"33880","Endovascular repair of thoracic aorta, endograft coverage of left subclavian artery"
"33881","Endovascular repair of thoracic aorta, endograft without coverage of left subclavian artery"
"33882","Endovascular repair of thoracic aorta, deployment of multiple systems"
"33883","Delayed placement of proximal extension prosthesis"
"33886","Delayed placement of distal extension prosthesis"
"3388F","American Joint Committee on Cancer colon cancer stage 3 documented"
"33894","Endovascular stent repair of thoracic aorta across branch"
"33895","Endovascular stent repair of thoracic aorta without crossing branch"
"33897","Percutaneous transluminal angioplasty, native or recurrent coarctation of aorta"
"33900","Percutaneous pulmonary artery revascularization, 1 normal native vessel, unilateral"
"33901","Percutaneous pulmonary artery revascularization, 1 normal native vessel, bilateral"
"33902","Percutaneous pulmonary artery revascularization, 1 abnormal vessel, unilateral"
"33903","Percutaneous pulmonary artery revascularization, 1 abnormal vessel, bilateral"
"33904","Percutaneous pulmonary artery revascularization, each additional vessel"
"3390F","American Joint Committee on Cancer colon cancer stage 4 documented"
"33910","Removal of pulmonary artery emboli"
"33915","Removal of pulmonary artery emboli"
"33916","Surgery of great vessel"
"33917","Repair of pulmonary artery"
"33920","Repair of pulmonary atresia"
"33922","Transection of pulmonary artery"
"33924","Removal of pulmonary shunt"
"33925","Repair of pulmonary artery, unifocal, without cardiopulmonary bypass"
"33926","Repair of pulmonary artery, unifocal, with cardiopulmonary bypass"
"33927","Implantation of total replacement heart system"
"33928","Removal and replacement of total heart system"
"33929","Removal and replacement of heart system for transplantation"
"33930","Removal of donor heart and lung"
"33933","Preparation of donor heart and lung"
"33935","Transplantation of heart and lung"
"33940","Removal of donor heart"
"33944","Preparation of donor heart"
"33945","Transplantation of heart"
"33946","Extracorporeal membrane oxygenation or extracorporeal life support initiation, venous"
"33947","Extracorporeal membrane oxygenation or extracorporeal life support initiation, arterial"
"33948","Extracorporeal membrane oxygenation or extracorporeal life support daily management, venous"
"33949","Extracorporeal membrane oxygenation or extracorporeal life support daily management, arterial"
"3394F","Quantitative HER2 immunohistochemistry evaluation, breast cancer"
"33951","Extracorporeal membrane oxygenation or extracorporeal life support, insertion of peripheral cannula"
"33952","Extracorporeal membrane oxygenation or extracorporeal life support, insertion of peripheral cannula"
"33953","Extracorporeal membrane oxygenation or extracorporeal life support, insertion of peripheral cannula"
"33954","Extracorporeal membrane oxygenation or extracorporeal life support, insertion of peripheral cannula"
"33955","Extracorporeal membrane oxygenation or extracorporeal life support, insertion of central cannula"
"33956","Extracorporeal membrane oxygenation or extracorporeal life support, insertion of central cannula"
"33957","Extracorporeal membrane oxygenation or extracorporeal life support, repositioning of peripheral cannula"
"33958","Extracorporeal membrane oxygenation or extracorporeal life support, repositioning of peripheral cannula"
"33959","Extracorporeal membrane oxygenation or extracorporeal life support, repositioning of peripheral cannula"
"3395F","Quantitative non-HER2 immunohistochemistry evaluation, breast cancer"
"33962","Extracorporeal membrane oxygenation or extracorporeal life support, repositioning of peripheral cannula"
"33963","Extracorporeal membrane oxygenation or extracorporeal life support, repositioning of peripheral cannula"
"33964","Extracorporeal membrane oxygenation or extracorporeal life support, repositioning of peripheral cannula"
"33965","Extracorporeal membrane oxygenation or extracorporeal life support, removal of peripheral cannula"
"33966","Extracorporeal membrane oxygenation or extracorporeal life support, removal of peripheral cannula"
"33967","Insertion of intra-aortic balloon assist device, percutaneous"
"33968","Removal of intra-aortic balloon assist device"
"33969","Extracorporeal membrane oxygenation or extracorporeal life support, removal of peripheral cannula"
"33970","Aortic circulation assist"
"33971","Aortic circulation assist"
"33973","Insertion of intra-aortic balloon device"
"33974","Removal of intra-aortic balloon device"
"33975","Implantation of ventricular assist device"
"33976","Implantation of ventricular assist device"
"33977","Removal of ventricular assist device"
"33978","Removal of ventricular assist device"
"33979","Insertion of intracorporeal ventricular assist device"
"33980","Removal of intracorporeal ventricular assist device"
"33981","Replacement of ventricular assist device, external pump"
"33982","Replacement of ventricular assist device, intracorporeal, without bypass"
"33983","Replacement of ventricular assist device, intracorporeal, with bypass"
"33984","Extracorporeal membrane oxygenation or extracorporeal life support, removal of peripheral cannula"
"33985","Extracorporeal membrane oxygenation or extracorporeal life support, removal of central cannula"
"33986","Extracorporeal membrane oxygenation or extracorporeal life support, removal of central cannula"
"33987","Arterial exposure and graft of artery"
"33988","Insertion of left heart vent"
"33989","Removal of left heart vent"
"33990","Insertion of percutaneous ventricular assist device, left heart, arterial access"
"33991","Insertion of percutaneous ventricular assist device, left heart, arterial and venous access"
"33992","Removal of percutaneous left heart ventricular assist device"
"33993","Repositioning of percutaneous right or left heart ventricular assist device"
"33995","Insertion of percutaneous ventricular assist device, right heart, venous access"
"33997","Removal of percutaneous right heart ventricular assist device"
"33999","Unlisted procedure, cardiac surgery"
"34001","Removal of artery clot"
"34051","Removal of artery clot"
"34101","Removal of artery clot"
"34111","Removal of arm artery clot"
"34151","Removal of artery clot"
"34201","Removal of artery clot"
"34203","Removal of leg artery clot"
"34401","Removal of vein clot"
"34421","Removal of vein clot"
"34451","Removal of vein clot"
"34471","Removal of vein clot"
"34490","Removal of vein clot"
"34501","Repair of valve, femoral vein"
"34502","Reconstruction of vena cava"
"3450F","Dyspnea screened, no to mild dyspnea"
"34510","Transposition of vein valve"
"3451F","Dyspnea screened, moderate to high dyspnea"
"34520","Cross-over vein graft"
"3452F","Dyspnea not screened"
"34530","Leg vein fusion"
"3455F","Tuberculosis screen performed and interpreted within 6 months"
"34701","Endovascular repair of abdominal aorta with endograft"
"34702","Endovascular repair of abdominal aorta with endograft for rupture"
"34703","Endovascular repair of abdominal aorta and unilateral iliac artery with endograft"
"34704","Endovascular repair of abdominal aorta and unilateral iliac artery with endograft for rupture"
"34705","Endovascular repair of abdominal aorta and bilateral iliac arteries with endograft"
"34706","Endovascular repair of abdominal aorta and bilateral iliac arteries with endograft for rupture"
"34707","Endovascular repair of ilio-iliac artery with endograft"
"34708","Endovascular repair of ilio-iliac artery with endograft for rupture"
"34709","Placement of extension prosthesis for endovascular repair"
"3470F","Rheumatoid arthritis disease activity low"
"34710","Delayed placement of extension prosthesis, first vessel"
"34711","Delayed placement of extension prosthesis, each additional vessel"
"34712","Transcatheter delivery of enhanced fixation device"
"34713","Percutaneous access and closure of femoral artery"
"34714","Open femoral artery exposure with creation of conduit"
"34715","Open axillary or subclavian artery exposure"
"34716","Open axillary or subclavian artery exposure with creation of conduit"
"34717","Endovascular repair of abdominal aorta and iliac artery with endograft"
"34718","Endovascular repair of non-aneurysmal abdominal aorta and iliac artery with endograft"
"3471F","Rheumatoid arthritis disease activity moderate"
"3472F","Rheumatoid arthritis disease activity high"
"3475F","Rheumatoid arthritis poor disease prognosis documented"
"3476F","Rheumatoid arthritis good disease prognosis documented"
"34808","Endovascular iliac artery device, add-on"
"34812","Open femoral artery exposure"
"34813","Femoral endovascular graft, add-on"
"34820","Open iliac artery exposure"
"34830","Open aortic tube prosthesis repair"
"34831","Open aortoiliac prosthesis repair"
"34832","Open aortofemoral prosthesis repair"
"34833","Open iliac artery exposure with creation of conduit"
"34834","Open brachial artery exposure"
"34839","Planning of patient-specific fenestrated graft"
"34841","Endovascular visceral aorta repair with 1 graft"
"34842","Endovascular visceral aorta repair with 2 grafts"
"34843","Endovascular visceral aorta repair with 3 grafts"
"34844","Endovascular visceral aorta repair with 4 grafts"
"34845","Visceral and infrarenal abdominal aorta repair with 1 prosthesis"
"34846","Visceral and infrarenal abdominal aorta repair with 2 prostheses"
"34847","Visceral and infrarenal abdominal aorta repair with 3 prostheses"
"34848","Visceral and infrarenal abdominal aorta repair with 4 or more prostheses"
"3490F","History of AIDS-defining condition"
"3491F","HIV status unsure, baby of HIV-positive mother"
"3492F","History of CD4+ cell count less than 350 cells/mm3"
"3493F","No history of CD4+ cell count less than 350 cells/mm3"
"3494F","CD4+ cell count less than 200 cells/mm3"
"3495F","CD4+ cell count 200 to 499 cells/mm3"
"3496F","CD4+ cell count greater than or equal to 500 cells/mm3"
"3497F","CD4+ cell percentage less than 15%"
"3498F","CD4+ cell percentage greater than or equal to 15% (HIV)"
"35001","Repair defect of artery"
"35002","Repair of artery rupture, neck"
"35005","Repair defect of artery"
"3500F","CD4+ cell count or percentage documented as performed"
"35011","Repair defect of artery"
"35013","Repair of artery rupture, arm"
"35021","Repair defect of artery"
"35022","Repair of artery rupture, chest"
"3502F","HIV RNA viral load less than limits of quantification"
"3503F","HIV RNA viral load not less than limits of quantification"
"35045","Repair defect of arm artery"
"35081","Repair defect of artery"
"35082","Repair of artery rupture, aorta"
"35091","Repair defect of artery"
"35092","Repair of artery rupture, aorta"
"35102","Repair defect of artery"
"35103","Repair of artery rupture, aorta"
"3510F","Documented tuberculosis screening, results interpreted"
"35111","Repair defect of artery"
"35112","Repair of artery rupture, spleen"
"3511F","Chlamydia and gonorrhea tests documented as performed"
"35121","Repair defect of artery"
"35122","Repair of artery rupture, abdomen"
"3512F","Syphilis screening documented as performed"
"35131","Repair defect of artery"
"35132","Repair of artery rupture, groin"
"3513F","Hepatitis B screening documented as performed"
"35141","Repair defect of artery"
"35142","Repair of artery rupture, thigh"
"3514F","Hepatitis C screening documented as performed"
"35151","Repair defect of artery"
"35152","Repair of ruptured popliteal artery"
"3515F","Patient has documented immunity to hepatitis C"
"3517F","Hepatitis B virus assessment and results interpreted within 1 year"
"35180","Repair of congenital arteriovenous fistula, head and neck"
"35182","Repair of congenital arteriovenous fistula, thorax and abdomen"
"35184","Repair of congenital arteriovenous fistula, extremity"
"35188","Repair of acquired arteriovenous fistula, head and neck"
"35189","Repair of acquired arteriovenous fistula, thorax and abdomen"
"35190","Repair of acquired arteriovenous fistula, extremity"
"35201","Repair of blood vessel, direct, neck"
"35206","Repair of blood vessel, direct, upper extremity"
"35207","Repair of blood vessel, direct, hand or finger"
"3520F","Clostridium difficile testing performed"
"35211","Repair of blood vessel, direct, intrathoracic, with bypass"
"35216","Repair of blood vessel, direct, intrathoracic, without bypass"
"35221","Repair of blood vessel, direct, intra-abdominal"
"35226","Repair of blood vessel, direct, lower extremity"
"35231","Repair of blood vessel with vein graft, neck"
"35236","Repair of blood vessel with vein graft, upper extremity"
"35241","Repair of blood vessel with vein graft, intrathoracic, with bypass"
"35246","Repair of blood vessel with vein graft, intrathoracic, without bypass"
"35251","Repair of blood vessel with vein graft, intra-abdominal"
"35256","Repair of blood vessel with vein graft, lower extremity"
"35261","Repair of blood vessel with graft other than vein, neck"
"35266","Repair of blood vessel with graft other than vein, upper extremity"
"35271","Repair of blood vessel with graft other than vein, intrathoracic, with bypass"
"35276","Repair of blood vessel with graft other than vein, intrathoracic, without bypass"
"35281","Repair of blood vessel with graft other than vein, intra-abdominal"
"35286","Repair of blood vessel with graft other than vein, lower extremity"
"35301","Rechanneling of artery"
"35302","Rechanneling of artery"
"35303","Rechanneling of artery"
"35304","Rechanneling of artery"
"35305","Rechanneling of artery"
"35306","Rechanneling of artery"
"35311","Rechanneling of artery"
"35321","Rechanneling of artery"
"35331","Rechanneling of artery"
"35341","Rechanneling of artery"
"35351","Rechanneling of artery"
"35355","Rechanneling of artery"
"35361","Rechanneling of artery"
"35363","Rechanneling of artery"
"35371","Rechanneling of artery"
"35372","Rechanneling of artery"
"35390","Reoperation, carotid, add-on"
"35400","Angioscopy"
"35500","Harvest of vein for bypass"
"35501","Arterial bypass graft, ipsilateral carotid"
"35506","Arterial bypass graft, subclavian to carotid"
"35508","Arterial bypass graft, carotid to vertebral"
"35509","Arterial bypass graft, contralateral carotid"
"3550F","Low risk for thromboembolism"
"35510","Arterial bypass graft, carotid to brachial"
"35511","Arterial bypass graft, subclavian to subclavian"
"35512","Arterial bypass graft, subclavian to brachial"
"35515","Arterial bypass graft, subclavian to vertebral"
"35516","Arterial bypass graft, subclavian to axillary"
"35518","Arterial bypass graft, axillary to axillary"
"3551F","Intermediate risk for thromboembolism"
"35521","Arterial bypass graft, axillary to femoral"
"35522","Arterial bypass graft, axillary to brachial"
"35523","Arterial bypass graft, brachial to ulnar or radial"
"35525","Arterial bypass graft, brachial to brachial"
"35526","Arterial bypass graft, aortocarotid or aortoinnominate"
"3552F","High risk for thromboembolism"
"35531","Arterial bypass graft, aortoceliac or aortomesenteric"
"35533","Arterial bypass graft, axillofemoral or femoral-femoral"
"35535","Arterial bypass graft, hepatorenal"
"35536","Arterial bypass graft, splenorenal"
"35537","Arterial bypass graft, aortoiliac"
"35538","Arterial bypass graft, aortobi-iliac"
"35539","Arterial bypass graft, aortofemoral"
"35540","Arterial bypass graft, aortobifemoral"
"35556","Arterial bypass graft, femoropopliteal"
"35558","Arterial bypass graft, femorofemoral"
"3555F","Patient International Normalized Ratio measurement performed"
"35560","Arterial bypass graft, aortorenal"
"35563","Arterial bypass graft, ilioiliac"
"35565","Arterial bypass graft, iliofemoral"
"35566","Arterial bypass graft, femoral to anterior-posterior tibial or peroneal artery"
"35570","Arterial bypass graft, tibial to tibial or peroneal artery"
"35571","Arterial bypass graft, popliteal to tibial, peroneal, or other artery"
"35572","Harvest of femoropopliteal vein"
"35583","Vein bypass graft, femoropopliteal"
"35585","Vein bypass graft, femoral to tibial or peroneal artery"
"35587","Vein bypass graft, popliteal to tibial or peroneal artery"
"35600","Open harvest of upper extremity artery, 1 segment, for coronary artery bypass"
"35601","Bypass graft, common carotid to ipsilateral internal carotid"
"35602","Bypass graft, carotid to contralateral carotid"
"35606","Bypass graft, carotid to subclavian"
"35612","Bypass graft, subclavian to subclavian"
"35616","Bypass graft, subclavian to axillary"
"35621","Bypass graft, axillary to femoral"
"35623","Bypass graft, axillary to popliteal or tibial"
"35626","Bypass graft, aorta to subclavian, innominate, or carotid"
"35631","Bypass graft, aorta to celiac, mesenteric, or renal"
"35632","Bypass graft, ilio-celiac"
"35633","Bypass graft, ilio-mesenteric"
"35634","Bypass graft, iliorenal"
"35636","Bypass graft, splenorenal"
"35637","Bypass graft, aortoiliac"
"35638","Bypass graft, aortobi-iliac"
"35642","Bypass graft, carotid to vertebral"
"35645","Bypass graft, subclavian to vertebral"
"35646","Bypass graft, aortobifemoral"
"35647","Bypass graft, aortofemoral"
"35650","Bypass graft, axillary to axillary"
"35654","Bypass graft, axillary-femoral-femoral"
"35656","Bypass graft, femoral to popliteal"
"35661","Bypass graft, femoral to femoral"
"35663","Bypass graft, ilioiliac"
"35665","Bypass graft, iliofemoral"
"35666","Bypass graft, femoral to anterior tibial, posterior tibial, or peroneal artery"
"35671","Bypass graft, popliteal to tibial or peroneal artery"
"35681","Composite bypass graft, prosthetic and vein"
"35682","Composite bypass graft, 2 veins"
"35683","Composite bypass graft, 3 or more segments"
"35685","Bypass graft patency patch"
"35686","Bypass graft or arteriovenous fistula patency"
"35691","Arterial transposition, vertebral to carotid"
"35693","Arterial transposition, subclavian"
"35694","Arterial transposition, subclavian to carotid"
"35695","Arterial transposition, carotid to subclavian"
"35697","Reimplantation of artery, each"
"35700","Reoperation, bypass graft"
"35701","Exploration, not followed by surgical repair, neck artery"
"35702","Exploration, not followed by surgical repair, upper extremity artery"
"35703","Exploration, not followed by surgical repair, lower extremity artery"
"3570F","Report of bone scintigraphy cross-referenced with x-ray"
"3572F","Patient considered for possible risk of fracture"
"3573F","Patient not considered for possible risk of fracture"
"35800","Exploration of neck vessels"
"35820","Exploration of chest vessels"
"35840","Exploration of abdominal vessels"
"35860","Exploration of limb vessels"
"35870","Repair of blood vessel graft defect"
"35875","Removal of clot in graft"
"35876","Removal of clot in graft"
"35879","Revision of graft with vein"
"35881","Revision of graft with vein"
"35883","Revision of femoral anastomosis with nonautogenous graft"
"35884","Revision of femoral anastomosis with autogenous vein graft"
"35901","Excision of graft, neck"
"35903","Excision of graft, extremity"
"35905","Excision of graft, thorax"
"35907","Excision of graft, abdomen"
"36000","Placement of needle in vein"
"36002","Injection treatment of pseudoaneurysm"
"36005","Injection for extremity venography"
"36010","Placement of catheter in vein"
"36011","Placement of catheter in vein"
"36012","Placement of catheter in vein"
"36013","Placement of catheter in artery"
"36014","Placement of catheter in artery"
"36015","Placement of catheter in artery"
"36100","Establish access to artery"
"36140","Introduction of needle or catheter, upper or lower extremity artery"
"36160","Establish access to aorta"
"36200","Placement of catheter in aorta"
"36215","Placement of catheter in artery"
"36216","Placement of catheter in artery"
"36217","Placement of catheter in artery"
"36218","Placement of catheter in artery"
"36221","Placement of catheter, thoracic aorta"
"36222","Placement of catheter, carotid or innominate artery"
"36223","Placement of catheter, carotid or innominate artery"
"36224","Placement of catheter, carotid artery"
"36225","Placement of catheter, subclavian artery"
"36226","Placement of catheter, vertebral artery"
"36227","Placement of catheter, external carotid artery"
"36228","Placement of catheter, intracranial artery"
"36245","Insertion of catheter, abdominal or lower extremity artery, first order"
"36246","Insertion of catheter, abdominal or lower extremity artery, second order"
"36247","Insertion of catheter, abdominal or lower extremity artery, third order"
"36248","Insertion of catheter, abdominal or lower extremity artery, each additional"
"36251","Insertion of catheter, renal artery, first order, unilateral"
"36252","Insertion of catheter, renal artery, first order, bilateral"
"36253","Insertion of catheter, renal artery, second order or higher, unilateral"
"36254","Insertion of catheter, renal artery, second order or higher, bilateral"
"36260","Insertion of infusion pump"
"36261","Revision of infusion pump"
"36262","Removal of infusion pump"
"36299","Unlisted procedure, vascular injection"
"36400","Venipuncture, under 3 years of age, performed by physician or qualified healthcare professional, femoral or jugular vein"
"36405","Venipuncture, under 3 years of age, performed by physician or qualified healthcare professional, scalp vein"
